f	Flux 	dFlux	 kf	dkf
0.0000	0.0000	0.0000	0.0000	0.0000
10.000	4.3974	1.2273	2.2369	0.29863
20.000	12.304	3.5350	5.4569	0.45669
30.000	23.136	5.0811	10.439	0.57689
40.000	39.764	6.7888	14.151	0.80916
50.000	48.506	8.4788	16.775	0.82715
60.000	58.736	10.687	19.785	0.77058
70.000	60.540	9.2538	22.049	0.77926
80.000	54.877	7.7368	24.452	0.96298
90.000	55.182	5.4436	25.406	0.95270
100.00	48.342	4.5376	27.148	1.0525
110.00	47.306	6.5729	30.004	1.1742
120.00	42.203	5.0596	32.501	1.3396
130.00	37.203	4.4513	33.661	1.4088
140.00	31.095	4.2799	33.216	1.8847
150.00	25.129	4.4282	34.586	1.8541
160.00	23.625	3.7979	37.847	1.8631
170.00	20.020	3.5694	39.332	2.1053
180.00	17.242	2.3730	42.914	2.1960
190.00	13.705	3.2350	43.024	2.5005
200.00	11.128	3.3776	42.326	2.7342
210.00	9.5192	3.9881	49.199	3.2677
220.00	6.8649	3.6425	52.208	2.8399
230.00	5.7749	2.6586	49.472	3.0115
240.00	4.2256	2.7604	47.109	2.9685
250.00	2.8097	2.5060	45.228	4.4290
260.00	1.1553	4.0110	43.912	5.8281
270.00	-1.2620	4.5538	46.608	7.1715
280.00	-3.1648	4.1001	54.237	8.8830
290.00	-2.7055	4.0021	64.765	10.762
300.00	-2.6773	4.4456	59.065	11.486
310.00	-2.8359	3.9682	56.654	11.798
320.00	-2.7549	4.3682	62.758	11.766
330.00	-4.3805	3.6826	57.158	13.382
340.00	-4.5399	3.3959	55.295	14.155
350.00	-4.0056	4.0314	52.162	17.969
360.00	-1.8921	3.9383	38.603	18.857
370.00	-1.6004	3.8473	31.339	18.518
380.00	-1.5972	3.0882	31.454	17.948
390.00	-1.6848	2.8695	32.889	18.154
400.00	-2.0242	3.2901	35.100	20.470
410.00	-1.7579	1.4546	44.269	17.879
420.00	-1.2738	1.5792	39.224	17.748
430.00	-1.7382	2.1917	44.837	18.427
440.00	-1.8183	1.7100	47.139	18.580
450.00	-0.49914	1.9865	41.165	17.401
460.00	-0.48433	2.0236	48.612	18.308
470.00	-0.45828	1.8279	59.817	16.555
480.00	0.019400	1.2516	47.333	16.384
490.00	-0.54865	1.6303	50.328	17.998
500.00	0.0000	0.0000	79.968	18.000
